package,libpath,version,priority,built
nlme,C:/_Eivarmisteta/R-3.5.2/library,3.1-137,recommended,3.5.2
nnet,C:/_Eivarmisteta/R-3.5.2/library,7.3-12,recommended,3.5.2
openssl,C:/_Eivarmisteta/R-3.5.2/library,1.1,NA,3.5.1
parallel,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
pillar,C:/_Eivarmisteta/R-3.5.2/library,1.3.1,NA,3.5.1
pkgbuild,C:/_Eivarmisteta/R-3.5.2/library,1.0.2,NA,3.5.1
pkgconfig,C:/_Eivarmisteta/R-3.5.2/library,2.0.2,NA,3.5.1
pkgload,C:/_Eivarmisteta/R-3.5.2/library,1.0.2,NA,3.5.1
plogr,C:/_Eivarmisteta/R-3.5.2/library,0.2.0,NA,3.5.1
plyr,C:/_Eivarmisteta/R-3.5.2/library,1.8.4,NA,3.5.1
png,C:/_Eivarmisteta/R-3.5.2/library,0.1-7,NA,3.5.0
prediction,C:/_Eivarmisteta/R-3.5.2/library,0.3.6.1,NA,3.5.2
prettyunits,C:/_Eivarmisteta/R-3.5.2/library,1.0.2,NA,3.5.1
processx,C:/_Eivarmisteta/R-3.5.2/library,3.2.1,NA,3.5.1
progress,C:/_Eivarmisteta/R-3.5.2/library,1.2.0,NA,3.5.1
ps,C:/_Eivarmisteta/R-3.5.2/library,1.2.1,NA,3.5.1
purrr,C:/_Eivarmisteta/R-3.5.2/library,0.2.5,NA,3.5.1
R6,C:/_Eivarmisteta/R-3.5.2/library,2.3.0,NA,3.5.1
rcmdcheck,C:/_Eivarmisteta/R-3.5.2/library,1.3.2,NA,3.5.2
RColorBrewer,C:/_Eivarmisteta/R-3.5.2/library,1.1-2,NA,3.5.0
Rcpp,C:/_Eivarmisteta/R-3.5.2/library,1.0.0,NA,3.5.1
readr,C:/_Eivarmisteta/R-3.5.2/library,1.3.0,NA,3.5.1
readxl,C:/_Eivarmisteta/R-3.5.2/library,1.2.0,NA,3.5.2
rematch,C:/_Eivarmisteta/R-3.5.2/library,1.0.1,NA,3.5.1
remotes,C:/_Eivarmisteta/R-3.5.2/library,2.0.2,NA,3.5.1
reprex,C:/_Eivarmisteta/R-3.5.2/library,0.2.1,NA,3.5.1
reshape2,C:/_Eivarmisteta/R-3.5.2/library,1.4.3,NA,3.5.1
rJava,C:/_Eivarmisteta/R-3.5.2/library,0.9-10,NA,3.5.2
rlang,C:/_Eivarmisteta/R-3.5.2/library,0.3.0.1,NA,3.5.1
rmarkdown,C:/_Eivarmisteta/R-3.5.2/library,1.11,NA,3.5.1
rmsfact,C:/_Eivarmisteta/R-3.5.2/library,0.0.3,NA,3.5.2
rpart,C:/_Eivarmisteta/R-3.5.2/library,4.1-13,recommended,3.5.2
rprojroot,C:/_Eivarmisteta/R-3.5.2/library,1.3-2,NA,3.5.1
rstudioapi,C:/_Eivarmisteta/R-3.5.2/library,0.8,NA,3.5.1
rvest,C:/_Eivarmisteta/R-3.5.2/library,0.3.2,NA,3.5.1
scales,C:/_Eivarmisteta/R-3.5.2/library,1.0.0,NA,3.5.1
selectr,C:/_Eivarmisteta/R-3.5.2/library,0.4-1,NA,3.5.1
sessioninfo,C:/_Eivarmisteta/R-3.5.2/library,1.1.1,NA,3.5.1
spatial,C:/_Eivarmisteta/R-3.5.2/library,7.3-11,recommended,3.5.2
splines,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
stats,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
stats4,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
stringi,C:/_Eivarmisteta/R-3.5.2/library,1.2.4,NA,3.5.1
stringr,C:/_Eivarmisteta/R-3.5.2/library,1.3.1,NA,3.5.1
survival,C:/_Eivarmisteta/R-3.5.2/library,2.43-3,recommended,3.5.2
tcltk,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
tibble,C:/_Eivarmisteta/R-3.5.2/library,1.4.2,NA,3.5.1
tidyr,C:/_Eivarmisteta/R-3.5.2/library,0.8.2,NA,3.5.1
tidyselect,C:/_Eivarmisteta/R-3.5.2/library,0.2.5,NA,3.5.1
tidyverse,C:/_Eivarmisteta/R-3.5.2/library,1.2.1,NA,3.5.1
tinytex,C:/_Eivarmisteta/R-3.5.2/library,0.9,NA,3.5.1
tools,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
translations,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,NA,3.5.2
usethis,C:/_Eivarmisteta/R-3.5.2/library,1.4.0,NA,3.5.2
utf8,C:/_Eivarmisteta/R-3.5.2/library,1.1.4,NA,3.5.1
utils,C:/_Eivarmisteta/R-3.5.2/library,3.5.2,base,3.5.2
whisker,C:/_Eivarmisteta/R-3.5.2/library,0.3-2,NA,3.5.1
viridisLite,C:/_Eivarmisteta/R-3.5.2/library,0.3.0,NA,3.5.1
withr,C:/_Eivarmisteta/R-3.5.2/library,2.1.2,NA,3.5.1
xfun,C:/_Eivarmisteta/R-3.5.2/library,0.4,NA,3.5.1
xlsx,C:/_Eivarmisteta/R-3.5.2/library,0.6.1,NA,3.5.2
xlsxjars,C:/_Eivarmisteta/R-3.5.2/library,0.6.1,NA,3.5.2
xml2,C:/_Eivarmisteta/R-3.5.2/library,1.2.0,NA,3.5.1
xopen,C:/_Eivarmisteta/R-3.5.2/library,1.0.0,NA,3.5.1
yaml,C:/_Eivarmisteta/R-3.5.2/library,2.2.0,NA,3.5.1
